Organisation,Launch Pad,Launch Facility,Launch State,Launch Country,Month,Year
Boeing,SLC-2W,Vandenberg AFB,California,USA,May,2002
NASA,LC-39B,Kennedy Space Center,Florida,USA,Apr,2002
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Mar,2002
NASA,LC-39A,Kennedy Space Center,Florida,USA,Mar,2002
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Feb,2002
Boeing,SLC-2W,Vandenberg AFB,California,USA,Feb,2002
Northrop,Stargazer,Cape Canaveral AFS,Florida,USA,Feb,2002
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,2002
Boeing,SLC-2W,Vandenberg AFB,California,USA,Dec,2001
NASA,LC-39B,Kennedy Space Center,Florida,USA,Dec,2001
Boeing,SLC-2W,Vandenberg AFB,California,USA,Oct,2001
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Oct,2001
Lockheed,SLC-4E,Vandenberg AFB,California,USA,Oct,2001
Lockheed,LP-1,Pacific Spaceport Complex,Alaska,USA,Sep,2001
Northrop,SLC-576E,Vandenberg AFB,California,USA,Sep,2001
Lockheed,SLC-3E,Vandenberg AFB,California,USA,Sep,2001
NASA,LC-39A,Kennedy Space Center,Florida,USA,Aug,2001
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,2001
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Aug,2001
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Jul,2001
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jul,2001
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,2001
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Jun,2001
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,May,2001
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,2001
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Apr,2001
NASA,LC-39B,Kennedy Space Center,Florida,USA,Mar,2001
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Feb,2001
NASA,LC-39A,Kennedy Space Center,Florida,USA,Feb,2001
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jan,2001
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Dec,2000
NASA,LC-39B,Kennedy Space Center,Florida,USA,Nov,2000
Boeing,SLC-2W,Vandenberg AFB,California,USA,Nov,2000
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,2000
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Oct,2000
NASA,LC-39A,Kennedy Space Center,Florida,USA,Oct,2000
Northrop,Stargazer,Ronald Reagan Ballistic Missile Defense Test Site,Marshall Islands,USA,Oct,2000
Lockheed,SLC-4W,Vandenberg AFB,California,USA,Sep,2000
NASA,LC-39B,Kennedy Space Center,Florida,USA,Sep,2000
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Aug,2000
Lockheed,SLC-4E,Vandenberg AFB,California,USA,Aug,2000
Northrop,SLC-8,Vandenberg AFB,California,USA,Jul,2000
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,2000
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Jul,2000
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Jun,2000
Northrop,Stargazer,Vandenberg AFB,California,USA,Jun,2000
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,May,2000
NASA,LC-39A,Kennedy Space Center,Florida,USA,May,2000
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,May,2000
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,May,2000
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,May,2000
Boeing,SLC-2W,Vandenberg AFB,California,USA,Mar,2000
Northrop,SLC-576E,Vandenberg AFB,California,USA,Mar,2000
NASA,LC-39A,Kennedy Space Center,Florida,USA,Feb,2000
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Feb,2000
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Feb,2000
Northrop,SLC-8,Vandenberg AFB,California,USA,Jan,2000
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Jan,2000
Northrop,SLC-576E,Vandenberg AFB,California,USA,Dec,1999
NASA,LC-39A,Kennedy Space Center,Florida,USA,Dec,1999
Lockheed,SLC-3E,Vandenberg AFB,California,USA,Dec,1999
Lockheed,SLC-4W,Vandenberg AFB,California,USA,Dec,1999
Northrop,Stargazer,Vandenberg AFB,California,USA,Dec,1999
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Nov,1999
Lockheed,SLC-6,Vandenberg AFB,California,USA,Sep,1999
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Sep,1999
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Aug,1999
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,1999
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,1999
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jul,1999
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jul,1999
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,1999
Lockheed,SLC-4W,Vandenberg AFB,California,USA,Jun,1999
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jun,1999
NASA,LC-39B,Kennedy Space Center,Florida,USA,May,1999
Lockheed,SLC-4E,Vandenberg AFB,California,USA,May,1999
Northrop,Stargazer,Vandenberg AFB,California,USA,May,1999
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,May,1999
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,1999
Lockheed,SLC-6,Vandenberg AFB,California,USA,Apr,1999
Boeing,SLC-2W,Vandenberg AFB,California,USA,Apr,1999
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Apr,1999
Lockheed,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,1999
Northrop,Stargazer,Vandenberg AFB,California,USA,Mar,1999
Boeing,SLC-2W,Vandenberg AFB,California,USA,Feb,1999
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Feb,1999
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Feb,1999
Lockheed,SLC-46,Cape Canaveral AFS,Florida,USA,Jan,1999
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jan,1999
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Dec,1998
Northrop,Stargazer,Vandenberg AFB,California,USA,Dec,1998
NASA,LC-39A,Kennedy Space Center,Florida,USA,Dec,1998
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Nov,1998
Boeing,SLC-2W,Vandenberg AFB,California,USA,Nov,1998
NASA,LC-39B,Kennedy Space Center,Florida,USA,Oct,1998
Northrop,Stargazer,Cape Canaveral AFS,Florida,USA,Oct,1998
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Oct,1998
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Oct,1998
Northrop,SLC-576E,Vandenberg AFB,California,USA,Oct,1998
Northrop,Stargazer,Wallops Flight Facility,Virginia,USA,Sep,1998
Boeing,SLC-2W,Vandenberg AFB,California,USA,Sep,1998
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Aug,1998
Boeing,SLC-2W,Vandenberg AFB,California,USA,Aug,1998
Lockheed,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,1998
Northrop,Stargazer,Wallops Flight Facility,Virginia,USA,Aug,1998
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Jun,1998
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,1998
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,1998
Boeing,SLC-2W,Vandenberg AFB,California,USA,May,1998
Lockheed,SLC-4W,Vandenberg AFB,California,USA,May,1998
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,May,1998
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Apr,1998
NASA,LC-39B,Kennedy Space Center,Florida,USA,Apr,1998
Northrop,Stargazer,Vandenberg AFB,California,USA,Apr,1998
Boeing,SLC-2W,Vandenberg AFB,California,USA,Mar,1998
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Mar,1998
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Feb,1998
Northrop,Stargazer,Wallops Flight Facility,Virginia,USA,Feb,1998
Boeing,SLC-2W,Vandenberg AFB,California,USA,Feb,1998
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Feb,1998
Northrop,SLC-576E,Vandenberg AFB,California,USA,Feb,1998
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Jan,1998
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jan,1998
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jan,1998
Lockheed,SLC-46,Cape Canaveral AFS,Florida,USA,Jan,1998
Northrop,Stargazer,Wallops Flight Facility,Virginia,USA,Dec,1997
Boeing,SLC-2W,Vandenberg AFB,California,USA,Dec,1997
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1997
NASA,LC-39B,Kennedy Space Center,Florida,USA,Nov,1997
Boeing,SLC-2W,Vandenberg AFB,California,USA,Nov,1997
Lockheed,SLC-41,Cape Canaveral AFS,Florida,USA,Nov,1997
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,1997
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Oct,1997
Lockheed,SLC-4E,Vandenberg AFB,California,USA,Oct,1997
Northrop,Stargazer,Wallops Flight Facility,Virginia,USA,Oct,1997
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Oct,1997
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Oct,1997
Boeing,SLC-2W,Vandenberg AFB,California,USA,Sep,1997
NASA,LC-39A,Kennedy Space Center,Florida,USA,Sep,1997
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Sep,1997
Northrop,Stargazer,Vandenberg AFB,California,USA,Aug,1997
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,1997
Lockheed,SLC-6,Vandenberg AFB,California,USA,Aug,1997
Boeing,SLC-2W,Vandenberg AFB,California,USA,Aug,1997
NASA,LC-39A,Kennedy Space Center,Florida,USA,Aug,1997
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Jul,1997
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,1997
Boeing,SLC-2W,Vandenberg AFB,California,USA,Jul,1997
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jul,1997
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,May,1997
NASA,LC-39A,Kennedy Space Center,Florida,USA,May,1997
Boeing,SLC-2W,Vandenberg AFB,California,USA,May,1997
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,1997
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1997
Lockheed,SLC-4W,Vandenberg AFB,California,USA,Apr,1997
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Mar,1997
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Feb,1997
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Feb,1997
NASA,LC-39A,Kennedy Space Center,Florida,USA,Feb,1997
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jan,1997
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jan,1997
Lockheed,SLC-4E,Vandenberg AFB,California,USA,Dec,1996
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1996
NASA,LC-39B,Kennedy Space Center,Florida,USA,Dec,1996
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Dec,1996
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Nov,1996
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,1996
Northrop,Stargazer,Vandenberg AFB,California,USA,Nov,1996
NASA,LC-39A,Kennedy Space Center,Florida,USA,Sep,1996
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Sep,1996
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Sep,1996
Northrop,Stargazer,Vandenberg AFB,California,USA,Aug,1996
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Jul,1996
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,1996
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Jul,1996
Northrop,Stargazer,Vandenberg AFB,California,USA,Jul,1996
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jun,1996
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,May,1996
NASA,LC-39B,Kennedy Space Center,Florida,USA,May,1996
Northrop,Stargazer,Vandenberg AFB,California,USA,May,1996
Lockheed,SLC-4E,Vandenberg AFB,California,USA,May,1996
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,1996
Lockheed,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,1996
Boeing,SLC-2W,Vandenberg AFB,California,USA,Apr,1996
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Apr,1996
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Mar,1996
NASA,LC-39B,Kennedy Space Center,Florida,USA,Mar,1996
Northrop,Stargazer,Vandenberg AFB,California,USA,Mar,1996
Boeing,SLC-2W,Vandenberg AFB,California,USA,Feb,1996
NASA,LC-39B,Kennedy Space Center,Florida,USA,Feb,1996
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Feb,1996
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Feb,1996
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jan,1996
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jan,1996
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Dec,1995
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Dec,1995
Lockheed,SLC-4E,Vandenberg AFB,California,USA,Dec,1995
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1995
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1995
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Nov,1995
Boeing,SLC-2W,Vandenberg AFB,California,USA,Nov,1995
EER,LP-0A,Wallops Flight Facility,Virginia,USA,Oct,1995
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Oct,1995
NASA,LC-39B,Kennedy Space Center,Florida,USA,Oct,1995
NASA,LC-39A,Kennedy Space Center,Florida,USA,Sep,1995
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Sep,1995
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Aug,1995
Lockheed,SLC-6,Vandenberg AFB,California,USA,Aug,1995
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Jul,1995
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jul,1995
Lockheed,SLC-41,Cape Canaveral AFS,Florida,USA,Jul,1995
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,1995
Northrop,Stargazer,Vandenberg AFB,California,USA,Jun,1995
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1995
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,May,1995
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,May,1995
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Apr,1995
Northrop,Stargazer,Vandenberg AFB,California,USA,Apr,1995
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Mar,1995
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Mar,1995
NASA,LC-39A,Kennedy Space Center,Florida,USA,Mar,1995
NASA,LC-39B,Kennedy Space Center,Florida,USA,Feb,1995
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Jan,1995
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Jan,1995
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Dec,1994
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,1994
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Nov,1994
NASA,LC-39B,Kennedy Space Center,Florida,USA,Nov,1994
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Nov,1994
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Oct,1994
NASA,LC-39A,Kennedy Space Center,Florida,USA,Sep,1994
NASA,LC-39B,Kennedy Space Center,Florida,USA,Sep,1994
Northrop,NB-52B Carrier,Edwards AFB,California,USA,Sep,1994
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Aug,1994
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,1994
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Aug,1994
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jul,1994
Northrop,Stargazer,Vandenberg AFB,California,USA,Jun,1994
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Jun,1994
Northrop,NB-52B Carrier,Edwards AFB,California,USA,May,1994
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,May,1994
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,1994
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1994
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Mar,1994
Northrop,SLC-576E,Vandenberg AFB,California,USA,Mar,1994
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Mar,1994
NASA,LC-39B,Kennedy Space Center,Florida,USA,Mar,1994
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Feb,1994
NASA,LC-39A,Kennedy Space Center,Florida,USA,Feb,1994
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Jan,1994
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1993
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Dec,1993
NASA,LC-39B,Kennedy Space Center,Florida,USA,Dec,1993
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Nov,1993
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,1993
NASA,LC-39B,Kennedy Space Center,Florida,USA,Oct,1993
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Oct,1993
NASA,LC-39B,Kennedy Space Center,Florida,USA,Sep,1993
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Sep,1993
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Aug,1993
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Aug,1993
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Aug,1993
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jul,1993
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,1993
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jun,1993
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,May,1993
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1993
Northrop,NB-52B Carrier,Edwards AFB,California,USA,Apr,1993
NASA,LC-39B,Kennedy Space Center,Florida,USA,Apr,1993
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Mar,1993
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Mar,1993
Northrop,NB-52B Carrier,Cape Canaveral AFS,Florida,USA,Feb,1993
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Feb,1993
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jan,1993
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Dec,1992
NASA,LC-39A,Kennedy Space Center,Florida,USA,Dec,1992
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Nov,1992
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,1992
NASA,LC-39B,Kennedy Space Center,Florida,USA,Oct,1992
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,1992
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Sep,1992
NASA,LC-39B,Kennedy Space Center,Florida,USA,Sep,1992
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Sep,1992
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Aug,1992
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jul,1992
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,1992
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jul,1992
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jul,1992
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jul,1992
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,1992
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Jun,1992
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,1992
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,May,1992
NASA,LC-39B,Kennedy Space Center,Florida,USA,May,1992
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Apr,1992
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Apr,1992
NASA,LC-39A,Kennedy Space Center,Florida,USA,Mar,1992
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Mar,1992
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Mar,1992
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Feb,1992
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jan,1992
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1991
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Nov,1991
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1991
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Nov,1991
NASA,LC-39A,Kennedy Space Center,Florida,USA,Sep,1991
NASA,LC-39A,Kennedy Space Center,Florida,USA,Aug,1991
Northrop,NB-52B Carrier,Edwards AFB,California,USA,Jul,1991
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,1991
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jun,1991
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,May,1991
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,May,1991
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1991
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,1991
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Apr,1991
NASA,LC-39B,Kennedy Space Center,Florida,USA,Apr,1991
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Mar,1991
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Mar,1991
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jan,1991
NASA,LC-39B,Kennedy Space Center,Florida,USA,Dec,1990
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Dec,1990
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,1990
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1990
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Nov,1990
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,1990
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,1990
NASA,LC-39B,Kennedy Space Center,Florida,USA,Oct,1990
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Oct,1990
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Jul,1990
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,1990
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jun,1990
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Jun,1990
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,1990
NASA,LC-39B,Kennedy Space Center,Florida,USA,Apr,1990
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Apr,1990
Lockheed,SLC-3W,Vandenberg AFB,California,USA,Apr,1990
Northrop,NB-52B Carrier,Edwards AFB,California,USA,Apr,1990
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Mar,1990
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,1990
NASA,LC-39A,Kennedy Space Center,Florida,USA,Feb,1990
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Feb,1990
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jan,1990
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jan,1990
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jan,1990
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,1990
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Dec,1989
NASA,LC-39B,Kennedy Space Center,Florida,USA,Nov,1989
NASA,LC-39B,Kennedy Space Center,Florida,USA,Oct,1989
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Sep,1989
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Sep,1989
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Sep,1989
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Aug,1989
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,1989
NASA,LC-39B,Kennedy Space Center,Florida,USA,Aug,1989
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Jun,1989
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,1989
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,May,1989
NASA,LC-39B,Kennedy Space Center,Florida,USA,May,1989
Douglas,SLC-17A,Cape Canaveral AFS,Florida,USA,Mar,1989
NASA,LC-39B,Kennedy Space Center,Florida,USA,Mar,1989
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Feb,1989
NASA,LC-39B,Kennedy Space Center,Florida,USA,Dec,1988
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Nov,1988
NASA,LC-39A,Kennedy Space Center,Florida,USA,Sep,1988
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Sep,1988
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Sep,1988
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Sep,1988
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Feb,1988
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Nov,1987
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Oct,1987
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jun,1987
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,May,1987
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Mar,1987
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Feb,1987
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1986
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Sep,1986
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Apr,1986
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Feb,1986
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jan,1986
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jan,1986
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1985
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Oct,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Oct,1985
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Sep,1985
